combo,n_metrics,avg_monotonicity,mono_pass_pct,mono_ok,avg_iqr,iqr_pass_pct,iqr_ok,avg_eta2,eta2_within,avg_antistary_r,antistary_ok,avg_state_r,state_corr_ok,passed,is_current
triplet_Speed+CO2+Halt,1,0.9666666666666666,0.0,False,0.3040931049722831,100.0,True,0.1029538257494896,0.8970461742505104,0.2072008517715566,False,0.4589700916262587,True,False,False
TotalCO2 + triplet_Speed+TP+Halt,2,-0.9523809523809522,95.23809523809523,True,0.1227337514101898,80.95238095238095,True,0.10630538704754895,0.893694612952451,-0.17265117076994918,False,0.25553898624859883,True,False,False
AvgSpeed + QueueLength,2,-0.976190476190476,100.0,True,0.20204484481935214,95.23809523809523,True,0.10875845937075299,0.891241540629247,-0.2627528359251193,False,0.4800117269722217,True,False,False
SpeedStd + triplet_TP+CO2+Halt,2,0.9619047619047617,0.0,False,0.1877559351203646,100.0,True,0.10990713069444921,0.8900928693055508,0.14883711046248516,False,0.27844426054724136,True,False,False
Throughput + SpeedStd,2,0.9571428571428569,0.0,False,0.1840586811079573,85.71428571428571,True,0.11147552705437021,0.8885244729456298,0.2576915341013839,False,0.44712990607225356,True,False,False
TotalWaitingTime + TotalCO2,2,-0.9809523809523807,100.0,True,0.20392422593403697,100.0,True,0.11797669104639925,0.8820233089536007,-0.29205834244182816,False,0.3915507780432105,True,False,False
Throughput + triplet_Speed+CO2+Halt,2,0.9666666666666666,0.0,False,0.1930459683748261,100.0,True,0.11994766372341863,0.8800523362765814,0.3212348057658798,False,0.5307688721537793,True,False,False
TotalCO2 + reward_halt,2,-0.9571428571428569,95.23809523809523,True,0.11434850043193273,76.19047619047619,True,0.12040892830217056,0.8795910716978295,-0.13506635515467866,False,0.2391717730097943,True,False,False
TotalCO2 + AvgSpeed,2,-0.9714285714285712,100.0,True,0.22195953544441474,100.0,True,0.16332632242322526,0.8366736775767747,-0.23391596560567768,False,0.4559387823940514,True,False,False
TotalCO2 + Throughput,2,-0.9761904761904758,100.0,True,0.06432722705514035,9.523809523809524,False,0.16822630601374297,0.831773693986257,-0.03969850640239042,False,0.17315231985903404,False,False,False
TotalCO2,1,-0.9714285714285712,100.0,True,0.18361782296785104,95.23809523809523,True,0.2148768385930286,0.7851231614069714,-0.2657620900016782,False,0.43504177822518597,True,False,False
