rank,run_id,run_dir,algorithm,reward_mode,num_layers,layer_size,total_timesteps,mean_reward,std_reward,n_steps,last_steps_used
674,dkl7rcd2,run-20260321_223323-dkl7rcd2,ppo,halt_ratio,1,16,,0.2824526089929363,0.07117154536121656,1003,100
675,0h8jaerz,run-20260321_224808-0h8jaerz,ppo,halt_ratio,1,16,,0.28160657510962533,0.0755446357721629,1003,100
676,0ux1tcca,run-20260321_230452-0ux1tcca,ppo,halt_ratio,2,16,,0.27749586025558254,0.0835565563332522,1003,100
677,nlnjcivh,run-20260321_223300-nlnjcivh,ppo,halt_ratio,1,16,,0.27572336023876565,0.08068592343841842,1003,100
678,yv3xfzcl,run-20260321_232419-yv3xfzcl,ppo,halt_ratio,3,8,,0.2691472195234584,0.07861191275262026,1003,100
679,gqzywrng,run-20260321_230450-gqzywrng,ppo,halt_ratio,2,16,,0.2639933671759861,0.09698382211925492,1003,100
680,jn2gj91v,run-20260321_184500-jn2gj91v,ppo,speed_throughput,2,128,,0.2633657785982889,0.052229585176111856,1003,100
681,q004l1xi,run-20260321_232403-q004l1xi,ppo,halt_ratio,3,8,,0.2579606993785488,0.0744615308025169,1003,100
682,4aemrojk,run-20260321_230435-4aemrojk,ppo,halt_ratio,2,8,,0.2536798943766907,0.08231453781066067,1003,100
683,7tveye9n,run-20260321_190341-7tveye9n,ppo,speed_throughput,3,64,,0.2515410764962742,0.05336218898163241,1003,100
684,egbzp8wr,run-20260321_190235-egbzp8wr,ppo,speed_throughput,3,16,,0.25112387699692384,0.04770560305146361,1003,100
685,3y53vexb,run-20260321_181104-3y53vexb,ppo,speed_throughput,1,16,,0.24800042824260488,0.03815711250946969,1003,100
686,zbqc4kye,run-20260321_182645-zbqc4kye,ppo,speed_throughput,1,128,,0.24458975592979976,0.049434948125452155,1003,100
687,tpzzt9d9,run-20260321_181106-tpzzt9d9,ppo,speed_throughput,1,16,,0.2443882173988613,0.043558664763101995,1003,100
688,ki0x3ouj,run-20260321_140420-ki0x3ouj,qrdqn,speed_throughput,2,8,,0.24356560617882267,0.04122029923061265,1000,100
689,yauzjzla,run-20260321_190258-yauzjzla,ppo,speed_throughput,3,32,,0.24354107603974753,0.04937161680293892,1003,100
690,iu1uwspu,run-20260321_223301-iu1uwspu,ppo,halt_ratio,1,8,,0.24256125281718513,0.07303463857774338,1003,100
691,cww1tgk1,run-20260321_182626-cww1tgk1,ppo,speed_throughput,1,128,,0.2418546554328672,0.05743425683028591,1003,100
692,xaewwjva,run-20260321_190321-xaewwjva,ppo,speed_throughput,3,32,,0.24169754734189153,0.04323182059769149,1003,100
693,3iusydra,run-20260321_184258-3iusydra,ppo,speed_throughput,2,32,,0.24151698529690563,0.047412133000660626,1003,100
694,7czpfldt,run-20260321_184421-7czpfldt,ppo,speed_throughput,2,64,,0.2400792975491294,0.04813643874486945,1003,100
695,h2stug9s,run-20260321_184250-h2stug9s,ppo,speed_throughput,2,32,,0.23962240534855828,0.04322194809400476,1003,100
696,ismfcb53,run-20260321_184448-ismfcb53,ppo,speed_throughput,2,128,,0.23801445364145224,0.05594083071976732,1003,100
697,8uvkfz56,run-20260321_190049-8uvkfz56,ppo,speed_throughput,3,16,,0.23798569548279608,0.043362265345418614,1003,100
698,w7rwhyp9,run-20260321_190029-w7rwhyp9,ppo,speed_throughput,3,8,,0.23778043291289894,0.04809594450840269,1003,100
699,k4hl8qoj,run-20260321_144952-k4hl8qoj,qrdqn,speed_throughput,3,128,,0.23775175047240651,0.05487571128541247,1000,100
700,z8rri9zh,run-20260321_184300-z8rri9zh,ppo,speed_throughput,2,64,,0.2376732685683639,0.04375836188010452,1003,100
